TS938.4 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
TQ522.16 工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦过程;
TQ326.56 工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚醚类;聚硫醚;
TQ326.55 化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚醚类;聚砜;
TQ321.22 化学工业;合成树脂与塑料工业;天然高分子树脂与塑料;改性天然树脂与塑料;纤维素脂及塑料;
TS721+.1 轻工业、手工业;造纸工业;原料及辅助物料;植物纤维;木质纤维;
S141.4 农业科学;农业基础科学;肥料学;农家肥料;堆肥、沤肥;
TQ613.1+1 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;单偶氮染料;
TF535.2+2 冶金工业;炼铁;高炉熔冶过程;生铁的形成;生铁的脱硫;炉外脱硫;
TF631 冶金工业;铁合金冶炼;冶炼方法;高炉冶炼;
TF534.2 工业技术;冶金工业;炼铁;高炉熔冶过程;造渣;特种炉渣;
O633.21 化学;高分子化学（高聚物）;杂链聚合物;链上含氮的聚合物;聚胺;
O623.624 化学;有机化学;脂肪族化合物;酯;
TQ564.4+6 化学工业;爆炸物工业、火柴工业;猛性炸药;混合猛性炸药;氯酸盐与过氯酸盐炸药;
TF645 冶金工业;铁合金冶炼;各种铁合金冶炼;硅铁;
TF641 工业技术;冶金工业;铁合金冶炼;各种铁合金冶炼;铬铁;
TQ331.4+99 化学工业;橡胶工业;胶乳;合成胶乳;其他胶乳;
TQ568.5 化学工业;爆炸物工业、火柴工业;火柴工业;机械与设备;
TQ568.6 化学工业;爆炸物工业、火柴工业;火柴工业;制造工艺;
O627.51 化学;有机化学;元素有机化合物;第5族元素有机化合物;磷有机化合物;
TG166.3 金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;铝及其合金的热处理;
TG166.2 金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;铜及其合金的热处理;
TG166.4 金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;镁及其合金的热处理;
TQ326.8+2 化学工业;合成树脂;聚合类树脂;焦油系树脂;石油树脂;
TQ316.6+4 化学工业;高分子化合物工业（高聚物工业）;生产过程;改性处理;交联法;
S141.1 农业科学;农业基础科学;肥料学;农家肥料;人粪尿;
TQ136.1+2 化学工业;金属元素的无机化合物;铬副族;钼的无机化合物;
TQ440.2+2 化学工业;化学肥料工业;一般性问题;化肥种类、组成、性质和肥效;有机肥料;
O614.61+2 化学;无机化学;金属元素及其化合物;铬副族;钼Mo;
TS133+.4 纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;
S963.91 水产、渔业;水产养殖技术;水产动物饵料及其营养;肥料;有机肥料;
TQ613.9 化学工业;染料及中间体工业;各种结构的合成染料;吖啶染料;
Q532+.5 生物科学;生物化学;糖;单糖;单糖转化衍生物;
O629.11+2 化学;有机化学;天然化合物;糖;单糖及其衍生物;单糖;
O629.12 化学;有机化学;天然化合物;糖;多糖;
[Q539+.7] 生物科学;生物化学;糖;其他多糖;粘多糖;
TQ929+.2 其他化学工业;发酵工业;其他发酵工业;聚多糖;
Q533+.1 生物科学;生物化学;糖;二糖;蔗糖;
TS245.5 食品工业;制糖工业;各种糖的生产;麦芽糖;
TS245.4 食品工业;制糖工业;各种糖的生产;葡萄糖、果糖;
TS245.4 食品工业;制糖工业;各种糖的生产;葡萄糖、果糖;
TG435+.3 金属学与金属工艺;气焊设备;乙炔发生器;
TQ613.1+2 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;
TQ613.1+3 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;三偶氮染料;
TQ522.15 工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;
TQ521.2 工业技术;化学工业;炼焦化学工业;土法炼焦;简易炼焦炉;
[TU992.3] 市政工程;排水工程;污水、污泥的处理及利用;
TQ645.6 化学工业;油脂和蜡的化学加工工业;油脂工业产品及副产品;脂肪酸;
O633.13 化学;高分子化学（高聚物）;杂链聚合物;链上含氧的聚合物;环氧树脂;
TF724.2 冶金工业;炼钢;氧气转炉炼钢;氧气顶吹转炉炼钢法;炉型结构;
{TF724.9} 冶金工业;炼钢;氧气转炉炼钢;氧气顶吹转炉炼钢法;废气除尘;
TF713.1 冶金工业;炼钢;转炉炼钢;熔炼过程及操作;吹炼;
TF713.3 冶金工业;炼钢;转炉炼钢;熔炼过程及操作;造渣;
TF741.322 冶金工业;炼钢;电炉炼钢;熔炼过程及操作;造渣;
TQ339 化学工业;橡胶工业;橡胶胶粘剂;
TS262.6 食品工业;酿造工业;各种酒及其制造;葡萄酒;
TF046 冶金工业;冶炼原料及矿石预处理;矿石预处理、烧结;
TF042 冶金工业;冶炼原料及矿石预处理;金属废料;
TF041 冶金工业;冶炼原料及矿石预处理;矿石;
TF351.1+2 冶金工业;冶金机械、冶金生产自动化;有色冶金机械;原料处理机械;制团、制粒机械;
TG174.442 金属腐蚀与保护、金属表面处理;金属表面防护技术;金属覆层保护;喷镀法;
X703.1 环境科学;废物处理与综合利用;废水的处理与利用;技术方法;
TV432+.1 水利工程;水工材料;水工混凝土和砂浆;砂浆;水泥砂浆;
TQ314.2 化学工业;高分子化合物工业（高聚物工业）;原料与辅助材料;合成高分子化合物;
O627.41+3 化学;有机化学;元素有机化合物;第Ⅳ族元素有机化合物;硅有机化合物;硅氧烷;
TQ615.5 工业技术;化学工业;染料及中间体工业;各种性能的合成染料;活性染料;
TQ131.1+2 化学工业;金属元素的无机化合物化学工业;碱金属元素的无机化合物;钠的无机化合物;
TQ031.8 化学工业;一般性问题;化学反应过程;一般化学反应过程;卤化、卤化剂;
O629.29 化学;有机化学;天然化合物;类固醇（甾族化合物）;其他甾族化合物;
TF578.6 工业技术;冶金工业;炼铁;炼铁炉（高炉）;热风炉;砌筑、维修;
TQ445 工业技术;化学工业;化学肥料工业;其他无机肥料;
O613.1 化学;无机化学;非金属元素及其化合物;零族元素、惰性气体;
TQ455.5 化学工业;农药工业;杀菌剂;抗菌素;
O622.2 化学;有机化学;各类有机化合物;卤素衍生物、卤代烃;
TQ517.3 化学工业;燃料化学工业;燃料种类及性质;固体燃料;
TF593.1 工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;可锻铸铁;
TQ522.63 工业技术;化学工业;炼焦化学工业;煤的高温干馏;化学产品加工;焦油粗加工及其产品;
TQ423.3+2 工业技术;化学工业;试剂与纯化学品的生产;硫酸酯类;
TQ441.71 化学工业;化学肥料工业;氮肥;氰氨态氮肥;氰氨化钙;
TV42+1.3 水利工程;水工材料;水泥、掺加料和外加剂;水泥;灌浆水泥;
TQ213 基本有机化学工业;各类有机化合物的生产;卤素衍生物、卤代烃;
TF053 冶金工业;冶金燃料与燃烧;固体燃料及燃烧;
TF593.2 工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;球墨铸铁;
O611.62 化学;无机化学;化学元素与无机化合物;氧化物、过氧化物;
TG435+.3 工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;
TQ444.9 化学工业;化学肥料工业;复合肥料（混合肥料）;其他混合肥料;
TQ171.6+3 化学工业;硅酸盐工业;玻璃工业;生产过程与设备;成型工艺;
O632.14 化学;高分子化学（高聚物）;碳链聚合物;不饱和烃聚合物;二烯烃聚合物;
O626.5 化学;有机化学;杂环化合物;七节杂环;
TS912+.4 五金制品工业;原材料及辅料;铜及铜合金;
TU512.1 金属材料;有色金属、稀有金属及其合金材料;铜及铜合金;
O626.3 化学;有机化学;杂环化合物;含单异原子的六节杂环;
TQ442.6 工业技术;化学工业;化学肥料工业;磷肥;硝酸磷肥;
TQ128+.1 化学工业;非金属元素及其无机化合物化学工业;硼及其无机化合物;硼;
TQ173.6+4 化学工业;搪瓷工业;施釉;涂搪瓷方法和装饰方法;
P578.3+1 地质学;矿物学;矿物分类;卤化物;氟化物;
TQ565+.2 化学工业;爆炸物工业、火柴工业;点火、点爆材料;雷管;
O629.11+2 化学;有机化学;天然化合物;碳水化合物、糖;单糖及其衍生物;单糖;
TQ326.56 化学工业;聚合类树脂及塑料;聚醚类;聚硫醚;
TQ132.1 化学工业;金属元素的无机化合物化学工业;铍的无机化合物;
TQ132.3+6 化学工业;金属元素的无机化合物化学工业;镭的无机化合物;
TU512.1 金属材料;有色金属、稀有金属及其合金材料;铜及铜合金;
TQ613.3 化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;
TQ644.14 化学工业;油脂和蜡的化学加工工业、肥皂工业;生产工艺;植物油制备方法;萃取法取油;
TQ644.13 化学工业;油脂和蜡的化学加工工业、肥皂工业;生产工艺;植物油制备方法;压榨法取油;
TQ343+.41 化学工业;化学纤维工业;无机纤维;矿物纤维;陶瓷纤维;
TQ426.65 化学工业;试剂与纯化学品的生产;催化剂;催化剂制备工艺;催化剂载体;
TQ613.1+4 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;四偶氮染料;
TQ613.1+3 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;三偶氮染料;
TQ613.1+2 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;
O633.22+1 化学;高分子化学;杂链聚合物;聚酰胺;内酰胺缩合作用的聚合物;
TG146.2+4 金属学与金属工艺;金属学;金属材料;有色金属及其合金;轻有色金属及其合金;铍;
TQ171.5 化学工业;硅酸盐工业;玻璃工业;生产机械制造;
[TQ351.7] 化学工业;纤维素质的化学加工工业;虫胶工业;
TQ645.9+4 化学工业;油脂和蜡的化学加工工业;副产品加工及利用;松香;
[TG174.441] 金属学与金属工艺;金属表面处理;金属表面防护技术;金属复层保护;电镀法;
TV42+1.6 水工材料;水泥;水泥;快硬硅酸盐水泥;
{TQ352.61} 化学工业;纤维素化学加工工业;生产工艺;硝酸纤维素酯（硝化纤维素）;
TQ341+.3 化学工业;化学纤维工业;再生纤维;硝酸纤维素纤维;
O626.13 化学;有机化学;杂环化合物;含单异原子的五节杂环;氮杂茂族;
TG435+.3 金属学与金属工艺;焊接、金属切割及金属粘接;焊接设备;气焊设备;乙炔发生器;
TQ134.3+1 化学工业;金属元素的无机化合物化学工业;锗的无机化合物;
TQ352.79 化学工业;纤维素质的化学加工工业;纤维素化学加工工业;产品;纤维素及其衍生物;
TQ330.55 化学工业;橡胶工业;一般性问题;橡胶及胶乳生产工艺;胶乳生产工艺;
O626.3 化学;有机化学;杂环化合物;含单异原子的六节杂环;
O782+.8 化学;晶体学;晶体生长;晶体生长工艺;固相-固相反应、应变退火法;
O782+.8 化学;晶体学;晶体生长;晶体生长工艺;固相-固相反应、应变退火法;
TQ431.3 化学工业;胶粘剂工业;动物胶;明胶;
TQ134.2 化学工业;金属元素的无机化合物;钍的无机化合物;
O626.5 化学;化学;有机化学;杂环化合物;七节杂环;
TS262.8 食品工业;酿造工业;各种酒及其制造;配制酒;
O782+.9 化学;晶体学;晶体生长;晶体生长工艺;其他生长方法;
TQ343+.42 化学工业;化学纤维工业;无机纤维;矿物纤维;石棉纤维;
TQ171.77 化学工业;硅酸盐工业;玻璃工业;各种玻璃产品;玻璃纤维;
V261.5+2 航空制造工艺;制造工艺过程及设备;电解加工、电化学加工;电铸;
TS262.5 酿造工业;各种酒及其制造;啤酒;
[TQ625] 化学工业;颜料工业;有机颜料、色淀;
TQ616.8 化学工业;染料及中间体工业;各种性能的合成染料;有机颜料和色淀;
TS262.5 酿造工业;各种酒及其制造;啤酒;
TQ441.12 化学肥料工业;氮肥;铵态氮肥;硝酸铵;
TM925.33 电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TS184.9 轻工业、手工业;纺织工业、染整工业;针织;针织工艺;针织新工艺;
TM925.33 电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TS103.3 轻工业、手工业;纺织工业、染整工业;一般性问题;纺织工业机械与设备;机织设备;
TM925.35 电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;电熨斗;
TS102.9 轻工业、手工业;纺织工业、染整工业;一般性问题;纺织纤维（纺织原材料）;废纤维的回收与利用;
TS734+.8 轻工业、手工业;造纸工业;机械与设备;造纸机械;辅助设备;
TS186.4 轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;
TS106.5 轻工业、手工业;纺织工业、染整工业;一般性问题;混纺织物;普通织物;
TS105 轻工业、手工业;纺织工业、染整工业;一般性问题;机织（织造工艺）;
TS152.2 轻工业、手工业;纺织工业、染整工业;化学纤维纺织;机械与设备;纺纱设备;
TS734+.4 轻工业、手工业;造纸工业;机械与设备;造纸机械;长网造纸机;
TS734+.3 轻工业、手工业;造纸工业;机械与设备;造纸机械;圆网造纸机;
TS194.4 轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;
TQ340.61 化学纤维工业;一般性问题;生产工艺;纺丝原液制备;
TQ342+.74 化学工业;化学纤维工业;合成纤维;特种纤维;碳纤维系纤维;
TS743+.1 轻工业、手工业;造纸工业;制浆工艺;制浆法;化学制浆;
TQ340.68 化学工业;化学纤维工业;一般性问题;生产工艺;回收与利用;
TS102.9 纺织工业、染整工业;一般性问题;纺织纤维（纺织原材料）;废纤维的回收与利用;
TS104.5 纺织工业;一般性问题;纺纱理论与纺纱工艺;混纺;
TS133+.6 纺织工业;毛纺织;原毛初加工;烘干;
TS106.4 纺织工业;混纺织物;纱线;纱或线;
TS755 造纸工业;造纸工艺;干燥、压光;
TS737+.7 造纸工业;机械与设备;辅助设备器材;刀片;
TS183.3 纺织工业、染整工业;针织;针织用机具;经编针织机;
TS182+.7 纺织工业;针织;原料（针织用纱）;花式纱;
TQ342+.9 化学工业;化学纤维工业;合成纤维;其他改性合成纤维;
J523.3 中国工艺美术;织染、服装、刺绣工艺美术;地毯、挂毯;
TS754 轻工业、手工业;造纸工业;造纸工艺;上网、压榨;
TM925.33 电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TS194.5 工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花后处理;
TS194.4 工业技术;轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;
TM925.33 电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TS174.6 轻工业、手工业;纺织工业、染整工业;非织造布;非织造布工艺;针刺法工艺;
TS176+.3 轻工业、手工业;纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;
TS176+.7 轻工业、手工业;纺织工业;非织造布;各类非织造布;服装衬垫、棉絮;
TQ340.41 化学工业;化学纤维工业;一般性问题;原料与辅助物料;再生纤维原料;
TM925.33 电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TU57+3.1 建筑科学;建筑材料;防水、防潮材料，嵌缝、密封材料;油毡、防水卷材;油毛毡、油毡纸;
[TS976.12] 生活服务技术;家务管理;家庭缝纫、织补;
TS183.4 纺织工业、染整工业;针织;针织用机具;纬编针织机
TQ615.3 化学工业;染料及中间体工业;各种性能的合成染料;碱性染料;
TQ613.1+1 化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;单偶氮染料;
TQ615.1 化学工业;染料及中间体工业;各种性能的合成染料;酸性染料;
J523.3 中国工艺美术;织染、服装、刺绣工艺美术;地毯、挂毯;
TM925.33 电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
TS762.2 造纸工业;产品;各种加工纸;涂布加工纸;
TS186.4 轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;
TS749+.7 造纸工业;制浆工艺;各种纸浆;废纸浆;
TS749+.7 造纸工业;制浆工艺;各种纸浆;废纸浆;
TS734+.4 轻工业、手工业;造纸工业;机械与设备;造纸机械;长网造纸机;
TS734+.3 轻工业、手工业;造纸工业;机械与设备;造纸机械;圆网造纸机;
TS186.4 轻工业、手工业;纺织工业、染整工业;针织;各类针织物;花边及装饰物;
TS749+.1 轻工业、手工业;造纸工业;制浆工艺;各种纸浆;木浆;
TS146 轻工业、手工业;纺织工业、染整工业;丝纺织;丝纺织物;
[TS976.12] 轻工业、手工业;家务管理;家庭缝纫、织补;
TU824+.3 房屋建筑设备;房屋卫生技术设备;卫生设备;洗衣房及其设备;
TS176+.2 纺织工业、染整工业;非织造布;各类非织造布;粘合法非织造布;
TS174.4 纺织工业、染整工业;非织造布;非织造布工艺;化学粘合工艺;
TS733+.2 轻工业、手工业;造纸工业;机械与设备;制浆机械;蒸煮设备;
TS174.6 纺织工业、染整工业;非织造布;非织造布工艺;针刺法工艺;
TS176+.3 纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;
[TQ343+.1] 化学工业;化学纤维工业;无机纤维;玻璃纤维;
TS184.3 纺织工业;针织;针织工艺;经编工艺;
TS152.2 纺织工业、染整工业;化学纤维纺织;机械与设备;纺纱设备;
TS183.2 纺织工业、染整工业;针织;针织用机具;准备机械;
TS183.6 纺织工业、染整工业;针织;针织用机具;手套机;
TM925.35 家用电器;清洁卫生用电器;电熨斗;
TS653.6 木材加工工业;人造板生产;纤维板;
TS749+.6 造纸工业;制浆工艺;各种纸浆;蔗渣浆;
TS749+.4 造纸工业;制浆工艺;各种纸浆;棉浆、麻浆;
{TQ613.2+3} 染料及中间体工业;各种结构的合成染料;蒽醌染料;媒染染料;
{TQ613.2+5} 染料及中间体工业;各种结构的合成染料;蒽醌染料;还原染料;
TQ613.2+4 染料及中间体工业;各种结构的合成染料;蒽醌染料;分散染料;
TD431 矿业工程;矿山机械;水力采矿机械化设备;水力采掘机械;
U443.21 交通运输;公路运输;桥涵工程;桥梁构造;墩台结构（下部结构）;桥台;
TV554+.14 水利工程;水利工程施工;各种工程、工种;隧洞与地下工程;钻爆法施工;衬砌;
U448.21+3 交通运输;公路运输;桥涵工程;各种桥梁;桥梁：按结构分;梁式桥;箱梁桥;
U468.5 交通运输;公路运输;汽车工程;汽车制造厂;车库;
TD726 工业技术;矿业工程;矿山安全与劳动保护;矿井通风;通风管理与通风构筑物;
U418.6+1 交通运输;公路运输;道路工程;道路养护与维修;路面的养护与维修;洒水、清扫、防尘;
TD422 矿业工程;矿山机械;采掘机械;露天矿采掘机械;
TU231 建筑科学;建筑设计;房屋细部构造设计;屋顶（屋面）、屋檐;
U616+.6 交通运输;水路运输;航道工程;疏浚工程;排泥、输泥泵站;
TD521 工业技术;矿业工程;矿山运输与设备;井下运输与设备;自重运输与设备;
TD55 工业技术;矿业工程;矿山运输与设备;斜井运输;
U213.3 交通运输;铁路运输;铁路线路工程;线路构造;轨枕;
U418.6+1 公路运输;道路工程;道路养护与维修;路面的养护与维修;洒水、清扫、防尘;
U213.2 交通运输;铁路运输;铁路线路工程;线路构造;轨道;
TD744 矿山安全与劳动保护;矿山排水与堵水;排水、堵水设备及排水系统;
TD743 矿业工程;矿山安全与劳动保护;矿山排水与堵水;排水、堵水方法;
TD442 矿业工程;矿山机械;矿山固定机械设备;矿山排水设备;
U453.6+1 隧道工程;隧道建筑物与设备;防排水、防排水设备;地下水及涌水防治措施及设备;
TU228 工业技术;建筑科学;建筑设计;房屋细部构造设计;门、窗;
TD236 矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
P634.4+1 地质、矿产普查与勘探;钻探工程;钻头、钻具及工具;钻头;
TE921 石油机械设备与自动化;钻井机械设备;钻头、钻具与工具;
U455.91 公路运输;隧道工程;隧道施工;隧道衬砌施工;
TU991.41 建筑科学;市政工程;给水工程（上水道工程）;工业企业给水;给水系统;
TU755.2+1 建筑科学;建筑施工;各项工程与工种;模板工程;各种模板;
TU532+.62 建筑科学;建筑材料;建筑化工材料;建筑塑料制品;塑料屋面材料;
U641.3+21 水路运输;通航建筑物;船闸;船闸尺度与构造;船闸输水系统;泄水设施;
U641.6+43 水路运输;通航建筑物与助航设备;船闸;各种船闸;井室船闸;
U641.3+4 水路运输;通航建筑物与助航设备;船闸;船闸尺度与构造;船闸附属设备;
U213.2+1 铁路运输;铁路线路工程;线路构造;轨道;轨道结构、轨道设计;
[TU279.7+2] 建筑科学;建筑设计;工业建筑;构筑物;桥梁;
U448.22+4 各种桥梁;桥梁：按结构分;拱式桥;桁架拱桥;
U448.22+4 各种桥梁;桥梁：按结构分;拱式桥;桁架拱桥;
U448.27 公路运输;桥涵工程;各种桥梁;桥梁：按结构分;斜拉桥;
TU226 建筑科学;建筑设计;房屋细部构造设计;遮阳蓬、雨蓬;
V229+.4 航空;飞机构造与设计;航空机械元件、标准件;锁扣;
U215.5+4 铁路运输;铁路线路工程;线路施工;铺轨工程;无缝线路铺设;
TU823.4 建筑科学;房屋建筑设备;排水设备;下水道的通气系统;
TV673+.2 水利工程;水利枢纽、水工建筑物;引水工程;冲砂放淤设施;冲砂闸;
TV651.1 水利工程;水利枢纽、水工建筑物;泄水建筑物;河岸泄水建筑物;溢洪道;
U418.3+24 公路运输;道路工程;道路养护与维修;机动养路机械与设备;洒水车;
TV675 水利工程;水利枢纽、水工建筑物;取水、引水工程;泵站;
TU731.2 建筑科学;建筑施工;施工设备;现场设备;脚手架;
TE922 石油、天然气工业;石油机械设备与自动化;钻井机械设备;钻机;
TE923 石油、天然气工业;石油机械设备与自动化;钻井机械设备;井架;
TU731.2 建筑科学;建筑施工;施工设备;现场设备;脚手架;
TU621 建筑科学;建筑施工机械和设备;土工机械、挖掘机械;挖掘机;
TV663+.5 水利工程;水利枢纽、水工建筑物;水闸;闸门;浮式闸门;
U448.25 公路运输;桥涵工程;各种桥梁;桥梁：按结构分;悬索桥;
TU229 建筑科学;建筑设计;房屋细部构造设计;楼梯、坡道、电梯;
TU227 建筑科学;建筑设计;房屋细部构造设计;墙、隔墙;
S276.3 农业科学;农业工程;农田水利;排水;排水系统;
TV131.61+1 水利工程;水利工程基础科学;水力学;水工模型;水工模型试验;正态模型;
U213.2+14 铁路运输;铁路线路工程;线路构造;轨道;轨道结构理论、轨道设计;轨道支撑及装置;
TD724 矿业工程;矿山安全与劳动保护;矿井通风;通风系统、通风方法与设备;
TB565+.5 声学工程;水声工程;水声仪器与设备;水池、水槽;
TU991.34+3 建筑科学;配水工程;蓄水构筑物及其设备;水池;
U455.8 公路运输;隧道工程;隧道施工;竖井工程;
U213.6+1 铁路运输;铁路线路工程;线路构造;道岔;转辙器;
U291.7+4 铁路运输;铁路运输管理工程;铁路枢纽;进站线路疏解、进路交叉;交叉;
U213.6+3 铁路运输;铁路线路工程;线路构造;尖轨与尖轨附加器、护轨;
TU756.4+4 建筑科学;建筑施工;各种预制构件;板、楼板;
[U213.1+53] 铁路运输;铁路线路工程;路基加固与防护;防雪、防冰冻及设备;
U216.41+2 铁路运输;铁路线路工程;铁路养护与维修;除雪、防雪、防冰冻及设备;
TU352.2 建筑科学;建筑结构;特种结构;防灾结构;防风、防雪结构;
[U491.9+4] 公路运输;交通工程与公路运输技术管理;交通公害;眩光;
TD713 矿业工程;矿山安全与劳动保护;矿井大气;瓦斯突出的预防和处理;
S156.99 农业科学;农业基础科学;土壤学;土壤改良;其他土壤改良;
TU991.34+2 建筑科学;市政工程;给水工程;配水工程;蓄水构筑物及其设备;水塔;
U667.1 水路运输;船舶工程;船舶舾装设备;桅杆设备;
[TU279.7+42] 建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
TU233 建筑科学;建筑设计;房屋细部构造设计;烟囱;
TU731.2 建筑科学;建筑施工;施工设备;现场设备;脚手架;
TD236 矿业工程;矿山设计与建设;凿岩爆破工程;掏槽方法;
P634.4+2 地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
TU823.1 建筑科学;房屋建筑设备;排水设备;下水道系统;
TV36 水利工程;水工结构;水下结构;
TH133.33+3 工业技术;机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚针轴承;
U464.238 交通运输;公路运输;汽车工程;汽车发动机;旋转活塞式发动机;部件;冷却系统;
TH323 工业技术;机械、仪表工业;泵;容积泵;隔膜泵;
V233.5+4 航空;航空发动机;发动机附件系统;冷却系统;空气喷气发动机冷却系统;
TH33 工业技术;机械、仪表工业;泵;内燃泵;
TK264.2 能源与动力工程;蒸汽动力工程;蒸汽轮机（蒸汽透平、汽轮机）;构造;安全装置;
TJ51+5 武器工业;爆破器材、烟火器材、火炸药;爆破器材;爆破药包;
TB652 工业技术;一般工业技术;制冷工程;制冷机械和设备;压缩机;
TH117.2+1 机械、仪表工业;机械学（机械设计基础理论）;机械摩擦、磨损与润滑;润滑;润滑器具;
U464.174 公路运输;汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
TK223.2 能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;燃烧装置;
TH132.47 机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;凸轮;
U463.51+1 公路运输;汽车工程;汽车结构部件;制动系统;制动器;鼓式;
TS914.23 轻工业、手工业;五金制品工业;五金制品;日用五金制品;炉灶及灶具;
TH133.31+3 机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;
TH133.33+4 机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;高速滚动轴承;
TM923.54 电气化、电能应用;电气照明;各种用途的灯;矿灯;
TJ43+1.2 武器工业;弹药、引信、火工品;引信;武器用引信;地雷引信;
TJ43+1.7 武器工业;弹药、引信、火工品;引信;武器用引信;水中兵器引信;
U464.136+.2 汽车工程;汽车发动机;往复式发动机;部件、零件;燃料供给系统;化油器;
TJ51+4 武器工业;爆破器材、火炸药;爆破器材;爆破筒;
TK229.5 工业技术;能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;水管锅炉;
TH133.4 机械、仪表工业;机械零件及传动装置;转动机件;联轴器;
U667.7 交通运输;水路运输;船舶工程;船舶舾装设备;消音设备;
E922.12 武器、军用器材;步兵武器、枪械及其他近战武器;枪械;步枪;
TJ22 工业技术;武器工业;枪械;步枪;
TB657.6 一般工业技术;制冷工程;制冷机械和设备;制冷设备;精馏及其设备;
TK227.3 能源与动力工程;蒸汽动力工程;蒸汽锅炉;运行;炉灰、炉渣的清除;
TH132.45 机械、仪表工业;机械零件及传动装置;机械传动机构;啮合传动;链传动;
TH132.2+1 机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦轮;
TH132.2+2 机械、仪表工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;
TH132.41 机械工业;机械零件及传动装置;机械传动机构;啮合传动;齿轮及齿轮传动;
TB657.7 工业技术;制冷工程;制冷机械和设备;制冷设备;气体分离设备;
U463.51+9 公路运输;汽车工程;汽车结构部件;制动系统;制动器;其他;
TH133.4 工业技术;机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
TH138.52+3 机械;机械零件及传动装置;控制阀;方向阀;
U270.38+1 车辆工程;车体构造及设备;车辆设备;电气照明设备;
U260.4+1 机车工程;一般性问题;机车设备与材料;电气照明设备;
U463.65+1 汽车工程;汽车结构部件;照明与信号系统;照明灯;
TK229.5 能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;水管锅炉;
U261.163+.1 机车工程;蒸汽机车;锅炉部分;锅炉特殊附属装置;冷凝系统;冷凝器;
U260.331+.5 机车工程;一般性问题;机车构造;走行部分;转向架;减振装置;
U464.133+.3 汽车工程;汽车发动机;部件、零件;曲轴、飞轮及扭振减震器;
TH133.5 工业技术;机械、仪表工业;机械零件及传动装置;转动机件;连杆、曲柄;
U464.133+.3 汽车工程;汽车发动机;部件、零件;曲柄连杆机构;曲轴;
E925.25 武器、军用器材;海军武器;水中武器;深水炸弹;
TJ65+1 武器工业;水中兵器;深水炸弹及发射装置;各种深水炸弹;
