游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
运输;车用轮胎;轮胎充气;轮胎的更换;与轮胎有关的装置或布置;封闭的，例如环状的轮胎;	交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮胎;轮胎密封装置;	工业技术;轻工业、手工业;烟草工业;烟草加工工艺及制品;雪茄烟;
运输;一般车辆;车轮;用于车轮或脚轮的轴;轮辋;以轮辐安装方式为特点的;	交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;辐板式;	医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;
金属加工;焊接;局部加热切割;电弧焊接或电弧切割;电弧切割、刨削、表面缺陷清除或清除表面金属;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;金属切割及设备;电弧切割及设备;	无线电电子学、电信技术;半导体技术;一般性问题;半导体器件制造工艺及设备;表面处理;
磨削;用于磨削或抛光的机床、装置或工艺;使用磨削或抛光带的机床或装置;用于磨削平面;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;平面磨削;	工业技术;电工技术;独立电源技术（直接发电）;蓄电池;碱性蓄电池;
提升;牵引;起重机;用于起重机的载荷吊挂元件或装置;缆索起重机;	机械、仪表工业;起重机械与运输机械;起重机械;各种用途起重机(含缆索起重机);	测绘学;摄影测量学与测绘遥感;非地形摄影测量;近影摄影测量;
与船有关的设备;扫雷;扫雷;扫雷装置;消灭水雷的装置;	武器工业;爆破器材、火炸药;爆破器材;扫雷器材;	植物学;植物分类学（系统植物学）;被子植物亚门;十字花科;
特种印刷品;单页的临时装订;文件卡片;合订卡片;	文教用品制造工业;簿册、活页印制;卡片;	铁路运输;车辆工程;车体构造及设备;车辆设备;给水、卫生设备;
塑料的加工;塑料的成型或连接;注射成型;所用的设备;	合成树脂与塑料工业;机械与设备;制品加工成型设备;	化学肥料工业;氮肥;铵态氮肥;硝酸铵;
用于打捞或搜索水下目标的装置;破损，搁浅或沉没船只的打捞;船只部件或装备的打捞;	交通运输;水路运输;船舶工程;航海技术管理与救助打捞;打捞工程;沉船打捞;	轻工业、手工业;印刷工业;凹版印刷;印版的制作;
金属冲压;与基本无切削金属加工有关的辅助加工;挤压工件或挤压机部件的冷却或加热;	工业技术;金属学与金属工艺;金属压力加工;挤压;有色金属及合金挤压;	农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;钓鱼具;
磨削、抛光或刃磨用的工具;研磨体或研磨板的物理特征;研磨体或研磨板的成分特征;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;研磨加工;	化学;高分子化学（高聚物）;杂链聚合物;链上含氧的聚合物;环氧树脂;
基本上无切削的金属机械加工;金属冲压;锻造;锤击;压制;与锻压机联合的锻锤;	金属学与金属工艺;金属压力加工;锻造、锻压与锻工;锻造用机械与设备;锻锤;其他锻锤;	公路运输;汽车工程;电气设备及附件;照明与信号系统;停刹车信号装置;
机床;刨削;拉削;拉床或拉削装置的附件;	金属学与金属工艺;金属切削加工及机床;拉削加工与拉床;	水利工程;水工材料;水工混凝土和砂浆;砂浆;水泥砂浆;
金属加工;剪切;剪床或剪切设备;剪床的组合;同时切开和割断;	金属学与金属工艺;金属压力加工;轧制辅助设备;剪切机;	铁路运输;车辆工程;车体构造及设备;车辆设备;给水、卫生设备;
运输;一般车辆;车辆的连接件;牵引连接器;牵引装置;以类型为特点的牵引装置或拖曳装置;	交通运输;公路运输;汽车工程;汽车结构部件;汽车附属装置;牵引装置;鞍式牵引装置;	机械工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;
基本上无切削的金属机械加工;金属冲压;锻造;锻造炉;锻造炉;	金属压力加工;锻造、锻压;锻造用机械与设备;锻炉及工具;锻炉;	测绘学;摄影测量学与测绘遥感;非地形摄影测量;近影摄影测量;
机床;金属加工刨削;仅包含旋转和直线运动，如用于螺旋槽的切削;	金属切削加工及机床;刨削加工、刨床;工具运动刨床;旋转盘刨床、螺旋刨床;	金属学与金属工艺;金属切削加工及机床;齿轮加工及齿轮机床;齿轮其他加工机床;
磨削;用于磨削的机床、装置;研磨机床或装置;附件;研具;	金属学与金属工艺;磨具、模具和手工具;磨具、研具;研具;	铁路运输;铁路线路工程;线路构造;钢轨联接及扣件;螺栓;
运输;提升;升降机;自动扶梯或移动人行道;自动扶梯或移动人行道的控制;	交通运输;公路运输;交通工程与交通管理;交通系统;交通道;行人与人行道;	无线电电子学、电信技术;通信;通信保密与通信安全;通信安全技术;
运输;无轨陆用车辆;畜拉车;车的底架或行走装置;	交通运输;车辆工程;车体构造及设备;车体与底架;	化学工业;感光材料工业;机械与设备;干燥设备;
金属加工;焊接;电弧焊接或电弧切割;用于非接合目的的焊接，如堆焊;	金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;堆焊及补焊;	食品工业;水产加工工业;水产制品;鱼粉、鱼翅;
用轧制方法制造特殊的金属物品;如农具;叉;耙;	农业工程;农业机械及农具;表土耕作机械;耙;	农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;
机床;金属加工;车削;车削或基本上需要使用车床加工的方法;	金属切削加工及机床;车削加工及车床（旋床）;联合车床;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;钎焊;
一般的物理或化学的方法或装置;化学方法，催化作用;催化剂的一般载体;	化学工业;试剂与纯化学品的生产;催化剂;催化剂制备工艺;催化剂载体;	无线电电子学、电信技术;通信;通信保密与通信安全;通信安全技术;
运输;无轨陆用车辆;机动车;挂车;转向机构零件的位置，例如转向盘;	交通运输;公路运输;汽车工程;汽车结构部件;转向系统;转向系零部件;	化学工业;非金属元素及其无机化合物化学工业;硼及其无机化合物;硼;
机床;金属加工;组合加工;有程序控制的组合单元的机械;	金属学与金属工艺;金属切削加工及机床;程序控制机床及其加工;	电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;电熨斗;
一般的物理或化学的方法或装置;化学或物理方法，催化作用;一般以其形态或物理性质为特征的催化剂;	化学;物理化学（理论化学）、化学物理学;化学动力学、催化作用;催化;催化剂;催化剂的种类;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;高速滚动轴承;
离心装置或离心机;离心机;用于在离心机中排气或形成真空;	真空技术;真空获得技术及设备;真空泵;机械真空泵;离心真空泵;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;抛光;
用于实现化学工艺过程的离心装置或离心机;离心机;用于离心机的其他附件;	化学;分析化学;元素及化合物的分离方法;物相分析;超离心机法;	音乐;器乐理论与演奏法;打击乐理论和演奏法;小鼓、大鼓;
运输;铁路;铁路车辆的转向架;;转向架的类型;	铁路运输;机车工程;机车构造;走行部分;转向架;	化学工业;爆炸物工业、火柴工业;点火、点爆材料;雷管;
运输;船舶或其他水上船只;与船有关的设备;船用设备;船体结构;	交通运输;水路运输;船舶工程;各种船舶;军用舰艇;结构;船体结构;	动物医学;动物医学（兽医学）;家畜卫生及防疫;兽医卫生保健组织;兽医器材及药品管理;
运输;船舶或其他水上船只;与船有关的设备;船用设备;船体结构;	交通运输;水路运输;船舶工程;各种船舶;船舶：按船体结构分;	一般工业技术;摄影技术;摄影机具与设备;摄影设备;特技摄影装置;
运输;铁路;铁路车辆的种类或车体部件;卫生设备;	铁路运输;车辆工程;车体构造及设备;车辆设备;给水、卫生设备;	测绘学;普通测量学、地形测量学;高程测量;气压高程测量;
运输;无轨陆用车辆;机动车;挂车;其他类目不包含的可偏转轮的转向机构;	交通运输;公路运输;汽车工程;汽车结构部件;转向系统;车轮转向;	教育、体育;体育;其他体育运动;击剑;
纸或纸板或类似纸的方式加工的材料的加工;纸张;复合变形和层压，与层压结合;	工业技术;轻工业、手工业;造纸工业;造纸工艺;纸品加工工艺;层压加工、复合加工;	汽车工程;汽车发动机;往复式发动机;部件、零件;起动系统;电力起动;
运输;铁路;铁路车辆的移位或调车;调车或近距离拖运设备;	铁路运输;铁路运输管理工程;调车工作;调车场及调车设备;	农业科学;农业工程;农业机械及农具;耕耘机具;犁;
飞行器;航空;飞机;直升飞机;起落架;减震器;弹簧减震器;	航空、航天;航空;飞机构造与设计;起落装置;起落架减震器;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;假面具、脸谱;
运输;一般车辆;适用于货运、或运输的车辆;	交通运输;机车工程;各种用途机车;货运机车;	化学工业;纤维素质的化学加工工业;虫胶工业;
印刷;印版或箔;印版;用石料制作;	轻工业;印刷工业;凹版印刷;印版的制作;	化学工业;化学纤维工业;再生纤维;硝酸纤维素纤维;
印刷;印刷机械或印刷机;丝网印刷机;	印刷工业;其他印刷;孔版印刷;丝网印刷;	农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;钓鱼具;
运输;铁路;机车;机动有轨车;蒸汽机车或蒸气有轨车;	交通运输;铁路运输;机车工程;蒸汽机车;蒸汽机部分;	金属学;磨料、磨具;磨料;其他磨料;
运输;无轨陆用车辆;自行车;可伸缩或可折叠的自行车;	交通运输;公路运输;其他道路运输工具;自行车;	航空、航天;航空;各类型航空器;短距和垂直升降航空器;直升飞机、旋翼机;
印刷;办公或其他商业用的印刷设备或装置;印刷设备或机械;	轻工业、手工业;印刷工业;一般性问题;机械与设备;印刷设备;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
铸造;金属铸造;其他物质的铸造;金属连续铸造;	金属学与金属工艺;铸造;有色金属铸造;轻金属铸造;	交通运输;铁路运输;机车工程;燃气轮机车;电气设备;
铸造;金属铸造;其他物质的铸造;铸造车间;	金属学与金属工艺;铸造;铸造车间;	金属学与金属工艺;金属压力加工;轧制辅助设备;剪切机;
一般车辆;车用轮胎;非充气胎或实心轮胎;	橡胶工业;橡胶制品;轮胎;实心轮胎;	农业科学;农业基础科学;肥料学;农家肥料;堆肥、沤肥;
磨削;磨料或微粒材料的喷射;磨料选择;	金属学;磨料、磨具;磨料;其他磨料;	农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;
印刷;印刷版的制造或复制工艺;橡胶印版的制作;	轻工业、手工业;印刷工业;凹版印刷;印版的制作;	轻工业、手工业;体育器具制造工业;军事体育器具;野营器具;
印刷;印刷机械或印刷机;转印印刷设备;	轻工业、手工业;印刷工业;机械与设备;印刷设备;	造纸工业;制浆工艺;各种纸浆;蔗渣浆;
运输;铁路;铁路交通管理;与轨道相连的电气设备;	交通运输;铁路运输;机车工程;燃气轮机车;电气设备;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;假面具、脸谱;
夹持的工具;工件夹持装置;装配夹具;	航空发动机制造;装配;装配工夹具;	工业技术;建筑科学;房屋建筑设备;机电设备;电梯工程;
运输;铁路;铁路交通管理;调车场的转辙系统;	铁路运输;铁路运输管理工程;调车工作;调车场及调车设备;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;
铸造;金属铸造;其他物质的铸造;铸造后的剩余材料，如浇口及冒口的切割;	金属学与金属工艺;铸造;铸造工艺;浇注及凝固;浇口及冒口;	公路运输;隧道工程;隧道施工;隧道衬砌施工;
铸造;金属铸造;其他物质的铸造;铸造后的剩余材料，如浇口及冒口的切割;	金属学与金属工艺;铸造;铸造机械设备;铸件落砂和清理设备;去除浇口、冒口;	公路运输;汽车工程;汽车结构部件;转向系统;转向器;曲柄传动式;
机床;金属加工;螺纹切制;螺纹切制;专用自动机床;	金属学与金属工艺;金属切削加工及机床;螺纹加工及螺纹加工机床;	化学工业;油脂和蜡的化学加工工业;油脂工业产品及副产品;副产品加工及利用;蜡;
机床;金属加工;螺纹切制;螺纹切制;专用自动机床;用磨削;	金属切削加工及机床;磨削加工与磨床;磨削加工工艺;螺纹磨削;	工业技术;原子能技术;加速器;循环加速器;回旋加速器;等时性回旋加速器;
一般的化学的方法或装置;混合，溶解、乳化、分散;用作乳化剂，增湿剂，分散剂的物质;	化学工业;试剂与纯化学品的生产;表面活性剂;表面活性剂的应用;乳化剂、分散剂、增溶剂;	其他轻工业、手工业;玩具制造工业;各种玩具：按用途分;玩偶的服饰、用具;
运输;一般车辆;与车辆动力装置的进气、排气的布置;与动力装置燃气进气或排气结合的布置;	交通运输;公路运输;汽车工程;汽车发动机;往复式发动机;部件、零件;配气机构;进排气系统;	化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;
化学;冶金;无机化学;砷的化合物;	化学工业;非金属元素及其无机化合物化学工业;砷及其无机化合物;	植物学;植物分类学（系统植物学）;被子植物亚门;天南星科;
化学;染料;有机染料或用于制造染料的有关化合物;还原性染料的隐色体;靛类染料的;	化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;	铁路运输;铁路线路工程;路基加固与防护;防雪、防冰冻及设备;
水、废水、污水或污泥的处理;水、废水或污水的处理;加热法;	环境科学、安全科学;废物处理与综合利用;废水的处理与利用;技术方法;	变压器;电力变压器;油浸式电力变压器;自耦变压器;
化学;冶金;有机化学;无环或碳环化合物;氰酸的衍生物;	化学;有机化学;脂肪族含氮化合物;氰酸及异氰酸的有机衍生物;	一般工业技术;制冷工程;制冷机械和设备;制冷设备;精馏及其设备;
化学;冶金;无机化学;金属的化合物;超铀元素的化合物;	化学工业;金属元素的无机化合物化学工业;金属元素的无机化合物;超铀元素的无机化合物;	化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;分批操作法（混床法）;
化学;冶金;铁的冶金;改变黑色金属的物理结构;热处理过程的控制或调整;	工业技术;金属学与金属工艺;金属学与热处理;热处理;铸铁热处理;	往复式发动机;部件、零件;配气机构;气门及驱动机构;
化学;黏合剂;基于氯丁二烯的均聚物或共聚物的黏合剂;胶乳;	化学工业;橡胶工业;胶乳;合成胶乳;氯丁胶乳（聚氯丁二烯胶乳）;	交通运输;水路运输;船舶工程;各种船舶;船舶：按船体结构分;
化学;无机化学;金属镁的化合物，或稀土金属的化合物;镁的化合物;	化学工业;金属元素的无机化合物化学工业;第Ⅱ族金属元素的无机化合物;镁的无机化合物;	无线电电子学、电信技术;通信;数据通信;各种数据传输系统;数据交换系统;
化学;肥料;肥料制造;氮肥;含有其他铵盐或氨的肥料，如煤气水;	工业技术;化学工业;化学肥料工业;氮肥;铵态氮肥;硝酸铵;	印刷工业;其他印刷;孔版印刷;丝网印刷;
表面化学处理;电解法除外的化学法金属材料清洗及除油;金属材料清洗或酸洗用的设备;	金属学与金属工艺;金属学与热处理;热处理;热处理机械与设备;辅助设备;酸洗设备;	计算机技术;计算技术、计算机技术;电子模拟计算机;运算放大器和控制器;运算器;
化学;有机化学;无环或碳环化合物;砜;亚砜;	化学;有机化学;脂肪族化合物（无环化合物）;亚砜、砜及硫化物;	工业技术;轻工业、手工业;造纸工业;造纸工艺;纸品加工工艺;层压加工、复合加工;
石油;燃料;液化石油气;气体燃料;液化石油气;液化石油气;	汽车工程;汽车用燃料、润滑料;液化可燃气燃料;液化石油气;	公路运输;汽车工程;汽车发动机;旋转活塞式发动机;部件;缸体、缸盖、活塞;
化学;有机化学;无环或碳环化合物;硫氰酸或异硫氰酸的衍生物;	化学;有机化学;脂肪族化合物（无环化合物）;硫氰酸及异硫氰酸的有机衍生物;	化学工业;一般性问题;化工过程（物理过程及物理化学过程）;蒸汽的冷凝;
化学;染料;涂料;有机染料或用于制造染料的有关化合物;由其他偶氮化合物制备的偶氮染料;	工业技术;化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;单偶氮染料;	工业技术;电工技术;独立电源技术（直接发电）;蓄电池;碱性蓄电池;
化学;炼焦工业;含碳物料的干馏生产煤气、焦炭、焦油或类似物;其他炼焦炉;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;	电工技术;电气化、电能应用;家用电器及其他电器设备;清洁卫生用电器;洗衣机;
化学;有机化学;无环或碳环化合物;含有氮原子之间以单键相连的链的化合物;肼;	化学;有机化学;无环化合物;脂肪族含氮化合物;羟氨及联氨衍生物;肼类;	轻工业、手工业;食品工业;乳品加工工业;各种乳制品;奶粉;
冶金;铁的冶金;铁或钢的冶炼;金属热还原法，如铝热还原法;	冶金工业;有色金属冶炼;金属提炼;火法提炼;热还原法;铝热法;	金属切削加工及机床;车削加工及车床（旋床）;联合车床;
化学;有机高分子化合物;其制备或化学加工;油、脂肪或蜡的组合物;其衍生的组合物;蜡;	化学工业;油脂和蜡的化学加工工业;油脂工业产品及副产品;副产品加工及利用;蜡;	化学工业;化学纤维工业;合成纤维;其他改性合成纤维;
化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;固体含碳物料干馏;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦过程;	武器工业;弹药、引信;火工品;引信雷管;电雷管;
化学;天然树脂;黏合剂;基于由只在主链中形成含硫的;聚硫醚;聚硫醚-醚;	工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚醚类;聚硫醚;	轻工业、手工业;印刷工业;一般性问题;机械与设备;排版设备;
化学;天然树脂;黏合剂;基于聚砜的黏合剂;聚砜;聚醚砜;	化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚醚类;聚砜;	给水工程;取水工程;水源;水源勘测;
高分子化合物的组合物;含木质素材料的组合物;木质纤维材料;	轻工业、手工业;造纸工业;原料及辅助物料;植物纤维;木质纤维;	自动化技术;计算技术、计算机技术;程序设计、软件工程;软件工程;
肥料;肥料制造;有机肥料;自家庭或市镇垃圾制成的肥料;生物堆肥;	农业科学;农业基础科学;肥料学;农家肥料;堆肥、沤肥;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;
化学;染料;有机染料或用于制造染料的有关化合物;由重氮化及偶合制备的其他偶氮染料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;单偶氮染料;	冶金工业;有色金属冶炼;一般性问题;金属提炼;湿法冶炼;分离;
冶金;铁的冶金;铁或钢的冶炼;高炉炼生铁;	冶金工业;铁合金冶炼;冶炼方法;高炉冶炼;	金属学与金属工艺;铸造;铸造机械设备;铸件落砂和清理设备;去除浇口、冒口;
冶金;铁的冶金;铁或钢的冶炼;高炉炼生铁;特殊成分炉渣的炼制;	工业技术;冶金工业;炼铁;高炉熔冶过程;造渣;特种炉渣;	化学工业;化学肥料工业;氮肥;氰氨态氮肥;氰氨化钙;
化学;高分子化合物的组合物;含氮的，高分子化合物的组合物;聚胺;	化学;高分子化学（高聚物）;杂链聚合物;链上含氮的聚合物;聚胺;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚柱轴承;
化学;有机高分子化合物;酯;酯;	化学;有机化学;脂肪族化合物;酯;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;
化学;炸药;火柴;炸药或热剂的组合物;用单种物质作炸药;如氯酸盐、高氯酸盐的组合物;	化学工业;爆炸物工业、火柴工业;猛性炸药;混合猛性炸药;氯酸盐与过氯酸盐炸药;	体育;体操运动;竞技体操;平衡木;
冶金;黑色或有色金属合金;合金;铁基合金;含硅的;	冶金工业;铁合金冶炼;各种铁合金冶炼;硅铁;	交通运输;铁路运输;车辆工程;货车;罐车;
冶金;黑色或有色金属合金;合金;铁基合金;含铬的;	工业技术;冶金工业;铁合金冶炼;各种铁合金冶炼;铬铁;	金属压力加工;锻造、锻压;锻造用机械与设备;自由锻水压机;
化学;涂料;基于含羧基橡胶的涂料组合物;胶乳;	化学工业;橡胶工业;胶乳;合成胶乳;其他胶乳;	轻工业、手工业;造纸工业;制浆工艺;制浆法;化学制浆;
化学;炸药;火柴;火柴;火柴的制造;火柴的机械加工;	化学工业;爆炸物工业、火柴工业;火柴工业;机械与设备;	冶金工业;一般性问题;有色冶金炉;烧结用炉;回转炉;
化学;有机化学;含周期表第5或15族元素的化合物;磷化合物;	化学;有机化学;元素有机化合物;第5族元素有机化合物;磷有机化合物;	航空、航天;航空;飞机构造与设计;机身、座舱;座舱盖、整流片、整流罩;
黑色或有色金属合金;用热处理法或用热加工法改变有色金属或合金的物理结构;铝或铝基合金;	金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;铝及其合金的热处理;	工业技术;金属学与金属工艺;金属压力加工;挤压;有色金属及合金挤压;
黑色或有色金属合金;用热处理法或用热加工法改变有色金属或合金的物理结构;铜或铜基合金;	金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;铜及其合金的热处理;	化学工业;橡胶工业;橡胶胶粘剂;
黑色或有色金属合金;用热处理法或用热加工法改变有色金属或合金的物理结构;镁或镁基合金;	金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;镁及其合金的热处理;	工业技术;武器工业;火炮;加农炮;
化学;有机高分子化合物;烃与矿物油的共聚物，如石油树脂;	化学工业;合成树脂;聚合类树脂;焦油系树脂;石油树脂;	公路运输;汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;
化学;有机高分子化合物;高分子物质的处理或生产过程;高分子的交联;	化学工业;高分子化合物工业（高聚物工业）;生产过程;改性处理;交联法;	工业技术;化学工业;化学肥料工业;磷肥;硝酸磷肥;
肥料制造;有机肥料;人排泄物制成的肥料，如粪肥;由人粪便;	农业科学;农业基础科学;肥料学;农家肥料;人粪尿;	电工技术;电机;微电机;控制用微电机;自整角机;
化学;无机化学;金属的化合物;钼的化合物;	化学工业;金属元素的无机化合物;铬副族;钼的无机化合物;	航空、航天;航空;飞机构造与设计;机翼;
化学;无机化学;金属的化合物;钼的化合物;	化学;无机化学;金属元素及其化合物;铬副族;钼Mo;	化学工业;合成树脂与塑料工业;增强塑料、填充塑料;硼纤维增强塑料;
化学;生产，脂肪物质例如羊毛脂;羊毛脂的回收;	纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;	纺织工业、染整工业;针织;针织用机具;手套机;
化学;肥料;肥料制造;有机肥料，如用废物或垃圾制成的肥料;其他有机肥料;	水产、渔业;水产养殖技术;水产动物饵料及其营养;肥料;有机肥料;	其他轻工业、手工业;乐器制造工业;西乐器;弓弦乐器;
化学;生物化学;含有糖残基的化合物的制备;单糖;	生物科学;生物化学;糖;单糖;单糖转化衍生物;	交通运输;综合运输;管道运输;管道结构与设计;管件;
化学;生物化学;含有糖残基的化合物的制备;单糖;	化学;有机化学;天然化合物;糖;单糖及其衍生物;单糖;	原子能技术;各种核反应堆、核电厂;核电厂（核电站）;
化学;生物化学;含有糖残基的化合物的制备;多糖;	化学;有机化学;天然化合物;糖;多糖;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;
化学;生物化学;含有糖残基的化合物的制备;多糖;	生物科学;生物化学;糖;其他多糖;粘多糖;	化学工业;化学纤维工业;一般性问题;原料与辅助物料;再生纤维原料;
化学;生物化学;发酵合成目标化合物;多糖;	其他化学工业;发酵工业;其他发酵工业;聚多糖;	化学工业;染料及中间体工业;各种性能的合成染料;碱性染料;
生物化学;含有糖残基的化合物的制备;二糖;	生物科学;生物化学;糖;二糖;蔗糖;	食品工业;制糖工业;各种糖的生产;葡萄糖、果糖;
生物化学;含有糖残基的化合物的制备;麦芽糖;	食品工业;制糖工业;各种糖的生产;麦芽糖;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器;
化学;生物化学;发酵合成目标化合物;葡萄糖;	食品工业;制糖工业;各种糖的生产;葡萄糖、果糖;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;
化学;生物化学;发酵合成目标化合物;果糖;	食品工业;制糖工业;各种糖的生产;葡萄糖、果糖;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
化学;染料;有机染料或用于制造染料的有关化合物;双偶氮及多偶氮染料;双偶氮染料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;双偶氮染料;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;火管锅炉;
化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;炼焦炉的其他部件;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;	矿业工程;矿山机械;采掘机械;露天矿采掘机械;
化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;炼焦炉的其他部件;	工业技术;化学工业;炼焦化学工业;土法炼焦;简易炼焦炉;	建筑科学;建筑施工;各项工程与工种;模板工程;各种模板;
水、废水、污水或污泥的处理;水、废水或污水的生物处理;	市政工程;排水工程;污水、污泥的处理及利用;	市政工程及公用设备;消防;消防设备;灭火装置;
化学;有机高分子化合物;高分子化合物的组合物;环氧树脂的组合物;	化学;高分子化学（高聚物）;杂链聚合物;链上含氧的聚合物;环氧树脂;	金属学与金属工艺;金属学与热处理;热处理;热处理机械与设备;辅助设备;酸洗设备;
冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;转炉构造、结构;	冶金工业;炼钢;氧气转炉炼钢;氧气顶吹转炉炼钢法;炉型结构;	电工技术;电工材料;磁性材料、铁氧体;永磁材料、永久磁铁;
冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;废气或烟尘的去除;	冶金工业;炼钢;氧气转炉炼钢;氧气顶吹转炉炼钢法;废气除尘;	电声技术和语音信号处理;语音信号处理;语音合成;
冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;吹炼的调节或控制;	冶金工业;炼钢;转炉炼钢;熔炼过程及操作;吹炼;	电工技术;电器;开关电器、断路器;各种开关;旋转和滑动开关;
冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;造渣;	冶金工业;炼钢;转炉炼钢;熔炼过程及操作;造渣;	冶金工业;有色金属冶炼;金属提炼;火法提炼;热还原法;铝热法;
冶金;钢的冶炼;碳钢的冶炼;电炉炼钢;造渣;	冶金工业;炼钢;电炉炼钢;熔炼过程及操作;造渣;	轻工业、手工业;纺织工业、染整工业;一般性问题;纺织工业机械与设备;机织设备;
化学;黏合剂;黏合剂;橡胶的黏合剂;	化学工业;橡胶工业;橡胶胶粘剂;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
生物化学;果汁酒;其制备;葡萄酒的制备;	食品工业;酿造工业;各种酒及其制造;葡萄酒;	纺织工业、染整工业;非织造布;各类非织造布;粘合法非织造布;
冶金;冶金;原材料的预处理;矿石的预处理;焙烧、烧结;	冶金工业;冶炼原料及矿石预处理;矿石预处理、烧结;	炼钢机械与生产自动化;炼钢生产自动化;炉料和钢水自动称量;
冶金;冶金;原材料的预处理;废料的预处理;	冶金工业;冶炼原料及矿石预处理;金属废料;	无线电电子学、电信技术;电子元件、组件;微波传输控制元件;波导定向耦合器;
冶金;冶金;原材料的预处理;矿石的预处理;	冶金工业;冶炼原料及矿石预处理;矿石;	农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;
冶金;冶金;有色金属的处理;原材料的预处理;矿石或废料的预处理;制团;制粒;制团;	冶金工业;冶金机械、冶金生产自动化;有色冶金机械;原料处理机械;制团、制粒机械;	水利工程;水工材料;水工混凝土和砂浆;砂浆;水泥砂浆;
对金属材料的镀覆;金属材料表面处理;熔融态覆层材料喷镀法;喷镀方法;	金属腐蚀与保护、金属表面处理;金属表面防护技术;金属覆层保护;喷镀法;	工业技术;金属学与金属工艺;金属学与热处理;热处理;铸铁热处理;
水、废水、污水或污泥的处理;水、废水或污水的生物处理;	环境科学;废物处理与综合利用;废水的处理与利用;技术方法;	自动化技术;计算技术、计算机技术;电子数字计算机;外部设备;外存储器;
染料;涂料;填充浆料;基于无机物质的涂料组合物;水泥;	水利工程;水工材料;水工混凝土和砂浆;砂浆;水泥砂浆;	公路运输;汽车工程;汽车结构部件;制动系统;制动器;鼓式;
