A63B37/00 运动;游戏;娱乐活动;体育锻炼;球类;训练器械;实芯球;弹子;
C07B39/00 化学;冶金;有机化学;有机化学的一般方法;所用的装置;卤化;
C07J53/00 化学;冶金;有机化学;甾族化合物;甾族化合物;
C21B9/02 化学;冶金;铁的冶金;铁或钢的冶炼;高炉用热风炉;砖砌热风炉;
C05D9/00 化学;肥料;肥料制造;产生二氧化碳的肥料;其他无机肥料;
C01B23/00 化学;无机化学;非金属元素;其化合物;惰性气体;其化合物;
C07G11/00 化学;有机化学;未知结构的化合物;抗菌素;
C07C17/093 化学;有机化学;无环或碳环化合物;制备卤代烃的方法;用卤素取代;
C10L5/00 化学;燃料;不包含在其他类目中的燃料;固体燃料;
C21C1/08 冶金;铁的冶金;生铁的加工处理;生铁的精炼;铸铁;铸铁的冶炼;
C07C305/00 化学;冶金;有机化学;无环或碳环化合物;硫酸酯;
C05C7/00 化学;肥料;肥料制造;氮肥;含氰氨化钙或其他氰氨化物的肥料;
C09D1/06 染料;涂料;填充浆料;基于无机物质的涂料组合物;水泥;
C07C17/093 化学;有机化学;无环或碳环化合物;制备卤代烃的方法;用卤素取代;
C21C1/10 冶金;铁的冶金;生铁的加工处理;生铁的精炼;铸铁;球墨铸铁的冶炼;
C01G1/02 化学;冶金;无机化学;氧化物;
C10H5/00 冶金;含一氧化碳的工业气体;燃料;乙炔的湿法生产;用储气罐自动调节给水的乙炔发生器;
C05F15/00 化学;肥料;肥料制造;有机肥料;混合肥料;混合物制造的肥料;
C03B19/00 化学;玻璃;玻璃的制造、成型;玻璃成型的其他方法;
C08L55/04 化学;有机高分子化合物;高分子化合物的组合物;由二烯合成得到加聚物;
C22C30/02 合金或有色金属的处理;合金;含铜的;
C22C30/02 合金或有色金属的处理;合金;含铜的;
C07D311/00 化学;有机化学;杂环化合物;杂环化合物，含六元环;
C05B11/06 化学;肥料;肥料制造;磷肥;用无机酸;用硝酸（硝基磷酸盐）;
C01B35/02 化学;无机化学;非金属元素;其化合物;硼;其化合物;硼;硼化物;
C03C8/00 化学;玻璃;釉或搪瓷釉的化学成分;搪瓷;釉;
C06C7/00 化学;火柴;起爆或点火装置;化学点火具;点火剂;非电雷管;雷管;
C07H3/02 化学;有机化学;糖类;及其衍生物;糖化基团的化合物;单糖;
C08G75/02 化学;有机高分子化合物;其制备或化学加工;聚硫醚;
C01F13/00 化学;冶金;无机化学;金属镭的化合物;镭的化合物;
C22C9/00 冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铜基合金;
C11B1/10 化学;动物或植物油、脂、脂肪物质或蜡;生产，例如通过压榨原材料或从废料中萃取;萃取法;
C11B1/06 化学;动物或植物油、脂、脂肪物质或蜡;生产，例如通过压榨原材料或从废料中萃取;压榨法;
C22C101/02 化学;冶金;合金;非金属纤维或细丝;氧化物陶瓷纤维;
C08F4/02 化学;仅用碳-碳不饱和键反应得到的高分子化合物;聚合催化剂;载体;
C07D201/02 化学;有机化学;杂环化合物;未取代的内酰胺的制备;内酰胺的制备;
C22C25/00 冶金;冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铍基合金;
C08L93/02 化学;有机高分子化合物;其制备或化学加工;虫胶;
C08L93/04 化学;有机高分子化合物;其制备或化学加工;松香;
C25D9/00 冶金;覆层的电解或电泳生产工艺方法;工件的电解法接合;非金属电镀层;
C04B7/02 水泥;水泥;水硬性水泥;硅酸盐水泥;
C08B5/02 化学;有机高分子化合物;其制备或化学加工;无机酸纤维素酯的制备;硝酸纤维素;
C08B5/02 化学;多糖类;无机酸纤维素酯的制备;硝酸纤维素;
C07D295/00 化学;有机化学;杂环化合物;杂环化合物，最少有五元环，3-氮杂二环;
C10H21/08 冶金;乙炔的湿法生产;乙炔发生器的零部件;乙炔发生器的安全装置;
C01G17/00 化学;冶金;无机化学;金属的化合物;锗的化合物;
C08B15/00 化学;有机高分子化合物;其制备或化学加工;其衍生物;其他纤维素衍生物的制备;
C08C1/02 化学;橡胶的处理或化学改性;橡胶胶乳的处理;胶乳的化学或物理处理;
C07D471/00 化学;有机化学;杂环化合物;含有1个氮原子的六元环的杂环化合物;
C30B1/10 化学;晶体生长;单晶生长;直接自固体的单晶生长;固相反应法;
C30B1/02 化学;晶体生长;单晶生长;直接自固体的单晶生长;应变退火;
C09H7/00 化学;黏合剂;动物胶或明胶的制备;明胶;
C01F15/00 化学;无机化学;金属钍的化合物;钍的化合物;
C07D223/00 化学;有机化学;杂环化合物;杂环化合物，含七元环;
C12G3/04 酒精饮料;其制备;用混合法，配制酒的制备;
C30B23/00 化学;晶体生长;单晶生长;冷凝气化物或材料挥发法的单晶生长;
C03C13/00 化学;玻璃;由玻璃制成的纤维的表面处理;玻璃纤维;
C25D1/00 电解或电泳工艺;电铸;工件的电解法接合;所用的装置;电铸;
C12C13/00 啤酒;啤酒的酿造;酿造装置;
C09B63/00 化学;染料;有机染料;色淀;色淀;
C09B63/00 化学;染料;有机染料或用于制造染料的有关化合物;色淀;色淀;
C12C11/00 啤酒;啤酒的酿造;啤酒发酵方法;
C05C1/00 化学;肥料;肥料制造;氮肥;硝酸铵肥料;
D04B1/00 纺织;编织;针织;不靠使用特殊机器生产织物或产品的纬编针织工艺;使用上述工艺生产的产品;
D06F9/00 纺织;织物等的处理;洗涤;纺织品的洗涤、干燥、熨烫、压平或打折;刷式洗衣机;
D05B25/00 纺织;缝纫;绣花;簇绒;缝纫;数台缝纫机合在一起的缝纫机组;
D06F77/00 纺织;织物等的处理;纺织品的干燥、熨烫、压平或打折;手熨斗的加压、升高或导向装置;
D01F13/02 纺织;天然或化学的线或纤维;纺纱或纺丝;原材料、废料或溶剂的回收;纤维素、纤维素衍生物;
D21G9/00 纺织;造纸;造纸;纤维素的生产;压光机;造纸机辅助设备;造纸机的其他辅助设备;
D03D9/00 纺织;造纸;织造;机织织物;织造方法;织机;透孔织物;
D03D23/00 纺织;织造;机织织物;织造方法;一般织造方法;机织法;
D01G33/00 纺织;天然或化学纤维;纺纱;纤维的预处理，如纺纱准备;纤维处理手工设备;
D21F1/02 造纸;造纸机;制造连续纸幅的纸机湿部;长网造纸机的网前箱;
D21F1/04 造纸;造纸机;制造连续纸幅的纸机湿部;圆网造纸机的流浆箱;
D06P7/00 纺织;织物等的处理;纺织品的染色或印花;与机械处理联用的染色或印花法;
D06M101/40 对纤维的处理;被处理的纤维或制成的纤维制品的化学成分;碳纤维;
D21C3/22 造纸;造纸;制浆药液的再生;含纤维素原料制浆;制浆工艺方法;
D01G11/00 天然或化学的纤维;纤维的预处理;分解含纤维物质，使纤维回收利用;
D01G11/00 纺织;天然或化学的纤维;纺纱或纺丝;纤维的预处理;分解含纤维物质，使纤维回收利用;
D02G3/04 纺织;纱线的机械整理;制造纱线的工艺或设备;混纺;
D06F60/00 纺织;织物等的处理;纺织品的干燥;烘干;
D02G3/00 纺织;纱线;纱或线;纱或线;
D21G1/00 造纸;造纸;压光机;压光机;
D21G3/00 造纸;造纸;造纸机辅助设备;刮刀;
D02G3/00 纺织;纱线;纱或线;如花式纱;
D04G3/00 纺织;编织;制造多结地毯或挂毯;多结地毯或挂毯;
D06F13/00 织物等的处理;洗涤;纺织品的洗涤;有固定洗涤容器和接触洗涤物的搅拌器的洗衣机;
D06P5/02 纺织;织物等的处理;纺织品的染色或印花;有关染色或印花纺织品;后处理;
D06P5/24 纺织;织物等的处理;纺织品的染色或印花;有关染色或印花纺织品;转移印花;
D06F21/00 纺织;织物等的处理;洗涤;纺织品的洗涤;带容器的洗衣机;
D04H18/00 纺织;针织;非织造布;通过此类工艺或设备制造的织物，如非织造布;针刺机;
D04H18/00 纺织;针织;非织造布;通过此类工艺或设备制造的织物，如非织造布;针刺机;
D04H1/02 纺织;非织造布;制造纺织品;棉絮;衬垫;纤维制成的非织造布;棉絮、衬垫;
D21B1/00 纺织;纤维素的生产;纤维原料或其机械处理;纤维原料或其机械处理;
D06F23/00 洗涤;纺织品的洗涤;带容器的洗衣机，如既能洗涤又能离心脱水的容器;
D06N5/00 墙壁、地面或类似物的覆盖材料，如油毡、油布、油毛毡;油毛毡，如涂沥青的纤维网;
D04B17/02 编织;针织;通过针织动作补布;通过织补;
D03D45/00 纺织;织造;织造方法;织机;带自动补纬的织机;
D06P1/41 纺织品的染色或印花;按照所用染料、颜料分类的;用碱性染料;
D06P1/02 纺织品的染色或印花;按照所用染料、颜料或助剂分类的;用偶氮染料;
D06P1/39 纺织品的染色或印花;按照所用染料、颜料或助剂分类的;用酸性染料;
D06G1/00 纺织;织物等的处理;地毯、小地毯;地毯、小地毯;
D06F37/00 纺织;织物等的处理;洗涤;纺织品的洗涤;洗衣机的零件;洗衣机;
D21H19/00 造纸;造纸;纸的浸渍或涂布;涂布纸;
D04C1/00 纺织;花边制作;针织;饰带;花边;花边;编织物或花边;如枕头花边;
D21D5/00 造纸;造纸;用机械方法精制纸浆悬浮液;
D21H15/00 造纸;造纸;浆料或纸浆组合物;纤维或成纸材料的纸浆或纸;
D21F9/02 造纸;造纸;造纸机;制造连续纸幅的整套纸机;长网机型的;
D21F9/04 造纸;造纸;造纸机;制造连续纸幅的整套纸机;圆网机型的;
D04C7/00 纺织;花边制作;针织;饰带;花边花边;手工编织或织花边的工具或器械;
D21C9/00 造纸;纤维素的生产;制浆药液的再生;纤维素纸浆，例如木浆;
D05B27/00 纺织;缝纫;绣花;缝纫;缝纫机用送布机构;
D06F95/00 洗涤;纺织品的洗涤;洗衣房系统或机器设备的配置;
D04H5/04 纺织;非织造布;制造纺织品;非织造布;用液态化学黏合剂固结;
D21C7/00 造纸;造纸;制浆药液的再生;所需设备;蒸煮器;
D04H5/02 纺织;针织;非织造布;制造纺织品;由机械方法，如针刺固结的;
D04H5/02 纺织;针织;非织造布;制造纺织品;由机械方法，如针刺固结的;
D04H5/12 制造纺织品，用纤维原料;纤维制成的非织造布;玻璃纤维;
D01H1/00 纺织;化学的纤维;纺纱或纺丝;纺纱或加捻;纺纱机或加捻机;
D04B39/00 纺织;编织;针织;针织;针织工艺，器械或机器;
D04B9/58 纺织;针织;针织;纬编针织用圆机;专用于生产手套;
D06F83/00 织物等的处理;纺织品的熨烫;熨斗;
D21J1/00 纤维素的生产;纤维板;纤维板;
D21H11/12 造纸;浆料或纸浆组合物;甘蔗渣的;
D21H11/12 造纸;浆料或纸浆组合物;棉花、亚麻的;
D06P1/36 纺织品的染色或印花;染色;按照所用染料分类的;用媒染染料;
D06P1/22 纺织品的染色或印花;染色;按照所用染料分类的;用还原染料;
D06P1/16 纺织品的染色或印花;染色;按照所用染料分类的;用分散染料;
E01D19/02 道路、铁路或桥梁的建筑;桥梁;桥梁零件;桥墩;桥台;
E21D5/00 土层或岩石的钻进;采矿;竖井;隧道;平硐;地下室;井筒衬砌;衬砌物;
E01D2/04 道路、铁路或桥梁的建筑;桥梁;以支撑桥跨结构截面为特征的桥梁;箱型梁的;
E04H6/08 建筑物;专门用途的建筑物;停放汽车或类似车辆的建筑物，例如，汽车库;存放多辆车的车库;
E21F1/04 采矿;矿井或隧道中或其自身的安全装置，通风;矿井或隧道的通风;风流的分配;风筒;
E01H1/02 道路、铁路或桥梁的建筑;街道清洗;喷湿或不喷湿路面清除道路或类似路面上的废物;洗刷设备;
E21C47/00 采矿;采矿或采石;露天矿的开采或运输机械;
E04B7/14 建筑物;一般建筑物构造;屋顶;顶棚;屋顶;有关隔绝的屋顶构造;悬索屋顶;
E02F7/00 水利工程;基础;疏浚;疏浚;输送或分离被挖出材料的设备;
E21F13/04 采矿;矿井或隧道中的运输;专用于地下条件的运输;自重滑行坡内的;
E21F13/04 采矿;矿井或隧道中的运输;专用于地下条件的运输;斜井内的;
E01B9/00 道路、铁路的建筑;铁路轨道;铁路轨道附件;轨枕;
E01B25/00 道路、铁路或桥梁的建筑;铁路轨道;特种铁路用的轨道;
E21F16/00 采矿;矿井或隧道中或其自身的安全装置或排水;排水;
E21F16/00 采矿;矿井或隧道中或其自身的安全装置或排水;排水;
E21F16/00 采矿;矿井或隧道中或其自身的安全装置或排水;排水;
E21F16/02 固定建筑物;土层或岩石的钻进;隧道中或其自身的安全装置或排水;排水;隧道的;
E06B5/00 固定建筑物;建筑物的闭合装置，例如，门、窗;特殊用途的门、窗;
E21C29/00 土层或岩石的钻进;采矿;采矿或采石;掏槽;
E21B10/02 土层或岩石的钻进;采矿;土层或岩石的钻进;钻头;岩心钻头;
E21D11/00 固定建筑物;隧道;隧道;其衬砌物;现场制衬砌物;
E03B11/10 固定建筑物;给水;给水池的配置;用于公共的或类似用途的总给水系统;
E04G11/00 固定建筑物;建筑物;模板;用以制作墙、楼板用的模壳，模板;
E02C1/06 固定建筑物;水利工程;船舶提升设备或机械;船闸;船闸的泄水装置;
E02C1/00 固定建筑物;水利工程;船舶提升设备或机械;船闸;竖井式船闸;
E02C1/10 固定建筑物;船舶提升设备或机械;船闸;船在船闸内航行所用的附属设备;
E01D1/00 固定建筑物;桥梁的建筑;桥梁;一般的桥梁;
E01D4/00 固定建筑物;桥梁的建筑;桥梁;拱桥;
E01D6/00 固定建筑物;桥梁的建筑;桥梁;桁架桥;
E01D11/04 固定建筑物;道路或桥梁的建筑;桥梁;悬索式斜拉桥;斜拉桥;
E04F10/00 固定建筑物;建筑物;建筑物的装修工程;遮阳;天篷;
E05B67/06 锁;锁;其附件;挂锁;及其部件;锁扣;锁扣的排列;
E01B29/00 道路、铁路的建筑;铁路轨道;铺设各种铁路的机器;铺设轨道;
E02B8/02 固定建筑物;水利工程;水利工程;拦河坝或堰的结构细部;冲砂闸;
E02B8/06 固定建筑物;水利工程;水利工程;拦河坝或堰的结构细部;溢洪道;
E03B5/00 固定建筑物;给水;取水、集水或配水的装置或方法;泵站;
E04G7/00 建筑物;脚手架;施工用具;脚手架构件之间的连接;
E21B7/02 土层或岩石的钻进;从井中开采油、气;钻井的设备;钻机;
E21B15/00 土层或岩石的钻进;从井中开采油、气;钻机的支承装置，井架;
E04G5/00 固定建筑物;建筑物;脚手架;脚手架的组件或附件;
E02F3/04 固定建筑物;疏浚;挖掘;疏浚;挖掘机;疏浚机;机械驱动的;
E02B7/50 水利工程;水利工程;拦河坝或堰;活动堰;闸门;浮动闸门;
E01D11/02 道路、铁路或桥梁的建筑;桥梁;悬索式斜拉桥;悬索桥;
E04G27/00 建筑物;施工用具或其他建筑辅助设备，或其应用;楼梯，坡道;
E04B2/00 建筑物;一般建筑物构造;墙;建筑物的墙，间壁墙;
E02B11/00 水利工程;疏浚;水利工程;土壤排水，用于农业的;
E01B21/02 道路、铁路或桥梁的建筑;铁路轨道;铁路轨道附件;轨道上部结构;特殊支撑设备;
E21F3/00 采矿;矿井或隧道中或其自身的安全装置，通风;空气的冷却或干燥;
E04H4/00 建筑物;游泳或喷水浴槽或池;游泳或喷水浴池、水浴槽;
E04H4/00 建筑物;游泳或喷水浴槽或池;游泳或喷水浴池、水浴槽;
E01B7/24 铁路轨道;铁路轨道附件;转辙器;转辙器的加热;
E01B7/30 道路、铁路或桥梁的建筑;铁路轨道;铁路轨道附件;交叉;交叉;突变交叉;
E01B7/02 铁路轨道;铁路轨道附件;尖轨;尖轨附加器;与之有关的结构;
E04B5/00 固定建筑物;建筑物;楼板;楼板;用于隔绝的楼板结构;
E01F7/00 道路、铁路的建筑;附属工程，防雪栅等的修建;防雪、防冰冻的设备;
E01F7/00 固定建筑物;道路的建筑;防雪栅等的修建;防雪、侧风影响;
E01F7/06 道路的建筑;附属工程，道路设备的修建;防眩光装置;防眩光装置;
E21F7/00 采矿;矿井或隧道中或其自身的安全装置;瓦斯排放方法或装置;
E02D3/00 基础;基础;地下或水下结构物;土壤或岩石的改良或保护;
E04H12/30 固定建筑物;建筑物;专门用途的建筑物或类似的构筑物;水塔;水塔;
E04H12/34 专门用途的建筑物或类似的构筑物;桅杆;桅杆装置;
E04H12/28 固定建筑物;建筑物;专门用途的建筑物或类似的构筑物;烟囱;烟囱体;
E04G1/00 固定建筑物;建筑物;脚手架;施工用具;脚手架;
E21C27/02 采矿;采矿或采石;使矿物完全落离矿层的机械;单靠掏槽的;
E21B11/00 土层或岩石的钻进;采矿;土层或岩石的钻进;其他钻具;
E03F3/00 固定建筑物;排水;下水道;下水管道系统;
E02D29/00 水利工程;地下或水下结构物;
F01P3/12 一般机器或发动机;一般机器或发动机的冷却;液体冷却;冷却发动机或机器的其他零件的装置;
F04B43/02 液体变容式机械;泵;具有柔性工作元件的机械、泵;具有板状柔性件，例如隔膜;
F01P7/02 一般机器或发动机;一般机器或发动机的冷却;冷却剂流量的控制;用冷却的空气作冷却剂;
F04B17/05 机械工程;液体变容式机械;泵;由内燃机驱动;
F01B25/20 机械工程;蒸汽机;一般的或变容式的机器或发动机，如蒸汽机;调节、控制或安全装置;安全装置的校验操作;
F42B39/02 武器;爆破;弹药;爆炸装药;弹药的包装或贮存;弹带或药包;药包;子弹带;
F25B5/00 机械工程;制冷或冷却;制冷机，制冷设备或系统;具有几个蒸发回路的压缩机、压缩装置或压缩系统;
F16N19/00 机械工程;工程元件或部件;为产生和保持机器或设备的有效运行的一般措施;润滑;用于润滑器或润滑系统的润滑油容器;
F02B43/00 机械工程;燃烧发动机;热气或燃烧生成物的发动机装置;一般燃烧发动机;以使用气态燃料工作为特征的发动机;
F23B101/00 燃烧设备;燃烧方法;只用固体燃料的燃烧方法或设备;适用于锅炉的燃烧设备，其燃烧室位于锅炉内部;
F16H25/00 机械工程;工程元件或部件;传动装置;主要只包括凸轮、凸轮随动件以及螺杆和螺母机构的传动装置;
F16D53/00 工程元件或部件;制动器;制动件与鼓轮，轮缘或类似件的圆周面和内表面均接合的制动器;
F16C43/02 机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滑动接触轴承;
F16C43/04 机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滚动接触轴承;
F21L23/00 照明;照明;发光装置或其系统;矿工非电手灯;
F42C14/04 武器;弹药;爆破;弹药引信;引信;用于鱼雷、水雷或深水炸弹的;
F02M13/00 机械工程;燃烧发动机;一般燃烧发动机的组成部分;化油器的配置;化油器;
F42B3/00 爆破;弹药;爆破;爆炸装药，例如用于爆破;爆破筒;
F01N1/00 机械工程;一般机器的气流消音器;以消音方法为特点的消音装置;
F41C7/00 轻武器;肩射轻武器，例如步枪;
F25J3/02 机械工程;制冷或冷却;进行分离气体混合物成分的设备;通过精馏作用;
F23J1/00 机械工程;燃烧设备;燃烧生成物或燃烧余渣的清除或处理;从燃烧室清除炉灰、炉渣;
F16G13/02 机械工程;工程元件或部件;主要用于传动的链;链;传动链;
F16H19/00 机械工程;工程元件或部件;传动装置;主要只带有摩擦元件的传动装置;
F16H19/00 机械工程;工程元件或部件;传动装置;主要只带有齿轮的传动装置;
F25B43/00 机械工程;制冷或冷却;制冷机，制冷设备或系统;分离气体的装置;
F16D65/00 机械工程;工程元件或部件;制动器;制动器的部件或零件;
F16D17/00 机械工程;工程元件或部件;传送旋转运动的联轴器;离合器;离合器的传动;
F16K15/00 机械工程;工程元件或部件;阀;单向阀;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F28B1/00 机械工程;蒸汽或其他蒸气冷凝器;冷凝器，例如表面式冷凝器;
F16F15/00 机械工程;工程元件或部件;减振装置;系统中振动的抑制;
F16C9/00 机械工程;工程元件或部件;曲轴机构的元件;转动工程元件;曲轴或连杆用的;
F16C9/00 机械工程;工程元件或部件;曲轴机构的元件;转动工程元件;曲轴或连杆用的;
F42B21/00 武器;弹药;爆炸装药，例如弹药;深水炸弹;
F42B21/00 武器;弹药;爆炸装药，例如弹药;深水炸弹;
F27B13/06 机械工程;炉;窑;一般馏炉、窑;开式烧结设备或类似设备;炉，窑;零部件;
F27B7/00 加热;炉;一般馏炉、烘烤炉;开式烧结设备;回转炉;
F27B7/00 加热;炉;一般馏炉、烘烤炉;开式烧结设备;回转炉;
F15D1/00 流体压力执行机构;流体动力学;影响流体流动;
F16H55/02 机械工程;工程元件或部件;传动装置;用于传动机构的蜗杆;蜗杆;
F16H55/17 机械工程;工程元件或部件;传动装置;用于传送运动的带有齿的元件;带有齿的轮;
F41H3/00 机械工程;武器;武器;伪装工事;伪装;
F21S43/00 机械工程;照明;照明;特别适用于车辆外部的信号装置，方向指示灯;
F21S43/00 机械工程;照明;照明;特别适用于车辆外部的信号装置，方向指示灯;
F21S43/00 机械工程;照明;照明;特别适用于车辆外部的信号装置，刹车灯;
F01L5/00 机械工程;蒸汽机;机器用的循环操作阀;滑动阀机构;
F15D1/00 流体压力执行机构;流体动力学;影响流体流动;
F02K3/00 机械工程;燃烧发动机;喷气推进装置;包括燃气轮机驱动压气机;
F02K3/00 燃烧发动机;热气或燃烧生成物的发动机装置;喷气推进装置;涵道风扇的装置;
F24D10/00 加热;供热;住宅供热系统或区域供热系统，例如集中供热系统;地区供暖系统;
F16D43/00 机械工程;传送旋转运动的联轴器;离合器;内部控制的自动离合器;
F24D9/02 加热;供热;住宅热水供应系统;集中供热系统;热水和蒸汽系统;
F24D9/02 加热;供热;住宅供热系统或区域供热系统;集中供热系统;热水和蒸汽系统;
F24D9/02 加热;供热;住宅热水供应系统;集中供热系统;热水和蒸汽系统;
F27D15/02 炉;窑;烘烤炉;对出炉材料的装卸或处理;冷却;
F42C9/08 武器;弹药;爆破;弹药引信;定时引信;定时与击发或压力的结合使引信动作的;用化学作用定时;
F16F11/00 工程元件或部件;减震器;减振装置;用摩擦和阻尼液工作的减振器或减震器;
F02P13/00 燃烧发动机;除压缩点火之外的内燃机点火;与内燃机其他部件结构上组合一起的火花塞;
F27B3/08 炉;电弧炉;带有或不带有其他热源的电加热的，例如电弧炉;
F27B3/00 加热;炉;床式炉，例如反射炉;
F15C1/22 计算或控制用的流体回路元件;无运动部件的回路元件;振荡器;
F28F1/00 一般热交换;通用热交换或传热设备的零部件;管件;管件的组件;
F16L13/02 工程元件或部件;不可拆卸的管接头，如软焊、粘接或嵌塞接头;焊接接头;
F01B13/00 一般机器或发动机;活塞往复运动的往复活塞式机器或发动机;
F16G1/00 机械工程;工程元件或部件;主要用于传动的带、缆或绳;传动带;
F23B10/00 燃烧设备;只用固体燃料的燃烧设备;燃烧设备;
F42B8/28 武器;弹药;爆破;爆炸装药;深水炸弹;
F42B8/28 武器;弹药;爆破;爆炸装药;深水炸弹;
F42B8/00 机械工程;武器;爆破;弹药;爆炸装药;弹药;练习或教练弹药;
F16D35/00 机械工程;传送旋转运动的联轴器;离合器;流体离合器;
F01B5/00 一般机器或发动机;往复活塞式机器或发动机;
F16D29/00 机械工程;传送旋转运动的联轴器;离合器;离合器或离合器系统;
F22B37/48 机械工程;蒸汽的发生;蒸汽锅炉;蒸汽锅炉的组成件;从锅炉内清除水的装置;
F23R3/00 机械工程;燃烧设备;燃气轮机的燃烧室;连续燃烧室;
F23R3/00 机械工程;燃烧设备;燃气轮机的燃烧室;连续燃烧室;
F41F3/08 武器;导弹或鱼雷发射装置;鱼雷发射装置;用于海上鱼雷的;
F22B13/00 机械工程;蒸汽的发生;蒸汽锅炉;火箱型蒸汽锅炉，带有烟管或火管;
F22B7/16 机械工程;蒸汽的发生;蒸汽锅炉;炉管型蒸汽锅炉;其组成件;所用附件;
F42B22/02 武器;弹药;爆炸装药;弹药;水雷;触发水雷;
F27D3/00 炉;烘烤炉;通用的炉的零部件或附件;装料;炉料控制;
F41F1/00 武器;爆破;武器;例如加农炮;发射装置，加农炮;
F42D3/00 爆破;爆破;爆破技术的特定应用;
F27D3/00 炉;烘烤炉;通用的炉的零部件或附件;装料;炉料控制;
F41F1/06 武器;爆破;武器;发射装置;迫击炮;
F41F1/06 武器;爆破;武器;发射装置;迫击炮;
F24C5/00 炉灶;其他家用炉或灶;炉或灶的零部件;液体燃料的炉或灶;
F02B11/00 燃烧发动机;热气的发动机装置;同时以燃料-空气混合气压缩为特征的发动机;
F03B7/00 机械工程;液力机械或液力发动机;产生机械动力;水轮;
F16D1/00 机械工程;工程元件或部件;传送旋转运动的联轴器;离合器;联轴器;
F16C25/06 机械工程;工程元件或部件;转动工程元件;轴承;旋转运动的轴承;滚珠轴承;
F16C25/06 机械工程;工程元件或部件;转动工程元件;轴承;旋转运动的轴承;滚柱轴承;
F17B1/00 机械工程;气体的贮存或分配;贮气罐;可调容量的贮气罐;
F01D1/00 机械工程;一般机器或发动机;蒸汽机;非变容式机器或发动机，如汽轮机;
F02N11/00 燃烧发动机的起动;发动机的起动辅助装置;发动机用电动机起动;
F04D17/08 机械工程;非变容式泵;离心泵;螺旋离心泵;离心泵;
F16H45/00 机械工程;工程元件或部件;传动装置;用联轴器或离合器传送旋转运动的流体传动装置组合;
F02P9/00 机械工程;燃烧发动机;内燃机点火;电火花点火控制器;
F24D15/00 加热;供热;住宅供热系统或区域供热系统;住宅或区域供热系统;
F27B5/00 炉;一般馏炉或蒸馏炉;开式烧结设备或类似设备;干馏炉;
F42C19/08 武器;弹药;弹药引信;引信的零部件;底火;
F22B37/00 机械工程;蒸汽的发生;蒸汽锅炉;蒸汽锅炉的组成件或零部件;
F22B37/48 机械工程;蒸汽的发生;蒸汽锅炉;蒸汽锅炉的组成件;从锅炉内清除水的装置;
G21D3/04 核物理;核工程;核发电厂;核发电厂的控制;安全装置;
G06F16/20 计算;推算;计数;电数字数据处理;数据库结构;结构化数据，例如关系型数据;
G06C1/00 计算;推算;计数;一切计算均用机械方式实现的数字计算机;计算器具，袖珍加法器;
G01C17/34 测量;测量距离、水准或者方位;罗盘;导航或测绘用的确定真北或磁北的装置;天文罗盘;
G06F8/20 计算;推算;计数;电数字数据处理;软件工程设计;软件设计;
G21C3/30 核工程;核反应堆;反应堆燃料元件及其组装;用作反应堆燃料元件的材料的选择;刚性结构的许多燃料元件的组装;
G21J1/00 核物理;核工程;核爆炸;其应用;核爆炸装置;
G01M9/04 机器或结构部件的静或动平衡的测试;空气动力学试验;风洞内或风洞上的装置;风洞;零部件;
G03D9/00 摄影术;电影术;加工曝光后的照相材料的设备;扩散显影设备;
G01R22/00 测量;测量电变量;用于测量电功率或电流的时间积分的装置，例如电表;
G11C16/00 信息存储;静态存储器;可擦除可编程序只读存储器;
G10D11/00 乐器;声学;手风琴或六角手风琴;手风琴、六角手风琴或类似乐器;
G06Q10/10 计算;计数;数据处理系统或方法;行政;管理;办公自动化，例如电子邮件或群件的计算机辅助管理;
G08B27/00 信号装置;信号装置或呼叫装置;指令发信装置;报警装置;把报警情况从中心台发信号给多个分台的报警系统;
G01J1/00 物理;测量;红外光、可见光、紫外光的光谱成分;光度测定法;
G01K15/00 测量;温度测量;热量测量;温度计的测试或校准;
G21C1/04 核物理;核工程;核反应堆;反应堆类型;热反应堆;
G06C15/02 计算;计数;一切计算均用机械方式实现的数字计算机;计算机构及其执行装置;二进制的运算;
G06C15/02 计算;计数;一切计算均用机械方式实现的数字计算机;计算机构及其执行装置;二进制的运算;
G01M10/00 物理;机器或结构部件的静或动平衡的测试;流体动力学试验;
G03B35/00 摄影术;摄影用的装置或设备;立体摄影术;
G01T1/16 物理;测量;辐射的测量;辐射强度测量;
G01T1/04 物理;测量;核辐射或X射线辐射的测量;辐射的测量;剂量计;化学剂量计;
G01T1/10 物理;测量;核辐射或X射线辐射的测量;辐射的测量;剂量计;发光剂量计;
G01T1/34 物理;辐射的测量;测量截面，例如，测量粒子的吸收截面;
G02B19/00 物理;光学;光学元件、系统或仪器;聚光镜;
G01N29/00 物理;借助于测定材料的化学或物理性质来测试或分析材料;利用超声波、声波来分析材料;
G10H3/22 乐器;电声乐器;其中由机电装置产生音调的乐器;应用机电驱动的带有拾音器的振动器的;
