R318.6 医药、卫生;基础医学;医用一般科学;生物医学工程;仪器、设备;
TN722.5 无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;放大器：按工作原理分;
TM32 工业技术;电工技术;电机;电动机（总论）;
TM31 电工技术;电机;发电机、大型发电机组（总论）;
[TN761.91] 无线电电子学、电信技术;基本电子电路;调制技术与调制器;增量调制;
TM564.4 电工技术;电器;开关电器、断路器;各种开关;旋转和滑动开关;
TN949.12 无线电电子学、电信技术;电视;电视：按体制分;彩色电视;
TM431 电工技术;变压器、变流器;变压器：按频率分;音频变压器、成声变压器;
TM451+.1 电工技术;变压器、变流器及电抗器;互感器;电压互感器;单相电压互感器;
TM452+.92 电工技术;变压器、变流器;互感器;电流互感器;直流电流互感器;
TM452+.92 电工技术;变压器、变流器及电抗器;互感器;电流互感器;直流电流互感器;
TM32 工业技术;电工技术;电机;电动机（总论）;
TN722 无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;
TM246+.1 电工材料;导电材料及其制品;电气装备用电线电缆;通用电线电缆;
TM249.4 电工材料;导电材料及其制品;特种电缆;低温、超低温电缆;
P756.1 海洋学;海洋工程;海下工程;水下电缆;
TM351 电工技术;电机;特殊电机;永磁电机;
TM411+.4 电工技术;变压器、变流器;电力变压器;油浸式电力变压器;成套变电站用变压器;
TM313 电工技术;电机;发电机、大型发电机组（总论）;永磁发电机;
TN786+.4 无线电电子学、电信技术;基本电子电路;脉冲变换、脉冲变换电路;脉冲限幅;
TM144 工业技术;电工技术;电工基础理论;磁路;永久磁铁磁路;
U224.2+7 电气化铁路;牵引变电所、变电设备;变电所一次设备;母线;
TM561.1 电工技术;电器;开关电器、断路器;断路器;空气断路器、压缩空气断路器;
TM216 电工技术;电工材料;绝缘材料、电介质及其制品;绝缘子和套管;
TN643+.8 无线电电子学、电信技术;电子元件、组件;电声器件;扬声器;立体声扬声器;
TM643 电工技术;发电、发电厂;配电设备和电气接线;开关设备;
TN722.5 无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;
TM923.32 电工技术;电气化、电能应用;电气照明;灯泡、灯管;气体放电灯;
TM923.31 电气化、电能应用;电气照明;灯泡、灯管;白热灯泡、白炽灯;
TN14 无线电电子学、电信技术;真空电子技术;X射线管、阴极射线管;
TM26 工业技术;电工技术;电工材料;超导体、超导体材料;
TM383.1 电工技术;电机;微电机;控制用微电机;自整角机;
TM411+.3 变压器;电力变压器;油浸式电力变压器;自耦变压器;
TN787+.1 基本电子电路;脉冲技术、脉冲电路;脉冲调制、解调，脉冲调制器;脉冲幅度调制;
TM31 电工技术;电机;发电机、大型发电机组;
TN713+.1 基本电子电路;滤波技术、滤波器;各形滤波器;
U228.3+1 电气化铁道的干扰与防干扰;对无线电设备的干扰及防护;对机场通信的干扰及防护;
